key;values001;values002
Materials;30/08/2011;0
Materials;29/09/2011;0
Materials;30/10/2011;0
Materials;30/11/2011;0
Materials;31/12/2011;0
Materials;31/01/2012;0
Materials;29/02/2012;0
Materials;30/03/2012;0
Materials;29/04/2012;0
Materials;30/05/2012;0
Telecommunication Services;31/01/2006;3.705697517
Telecommunication Services;28/02/2006;3.756111869
Telecommunication Services;31/03/2006;2.861913701
Telecommunication Services;29/04/2006;2.99337441
Telecommunication Services;30/05/2006;2.712753722
Telecommunication Services;29/06/2006;3.119549708
Telecommunication Services;30/07/2006;3.4066964
Telecommunication Services;30/08/2006;3.375457111
Telecommunication Services;29/09/2006;2.296557998
Telecommunication Services;31/10/2006;2.448681863
Telecommunication Services;30/11/2006;2.400230885
Telecommunication Services;31/12/2006;1.964957975
Telecommunication Services;31/01/2007;1.938526364
Telecommunication Services;28/02/2007;1.912897534
Telecommunication Services;30/03/2007;2.341286984
Telecommunication Services;29/04/2007;2.433787035
Telecommunication Services;30/05/2007;2.621797032
Telecommunication Services;29/06/2007;3.264286496
Telecommunication Services;30/07/2007;3.320039622
Telecommunication Services;30/08/2007;3.393421271
Telecommunication Services;29/09/2007;4.282232709
Telecommunication Services;30/10/2007;4.147496423
Telecommunication Services;30/11/2007;4.147708288
Telecommunication Services;31/12/2007;5.294712292
Telecommunication Services;31/01/2008;5.291984351
Telecommunication Services;29/02/2008;5.198978305
Telecommunication Services;30/03/2008;3.560305767
Telecommunication Services;29/04/2008;3.300908769
Telecommunication Services;30/05/2008;3.17848526
Telecommunication Services;29/06/2008;4.588950354
Telecommunication Services;30/07/2008;4.401779617
Telecommunication Services;30/08/2008;4.220830183
Telecommunication Services;29/09/2008;3.893966715
Telecommunication Services;30/10/2008;3.042383224
Telecommunication Services;30/11/2008;3.135520612
Telecommunication Services;31/12/2008;1.963141816
Telecommunication Services;31/01/2009;1.896354387
Telecommunication Services;28/02/2009;1.826663602
Telecommunication Services;30/03/2009;0.931366359
Telecommunication Services;29/04/2009;0.927378019
Telecommunication Services;30/05/2009;0.975918898
Telecommunication Services;29/06/2009;2.684119381
Telecommunication Services;30/07/2009;2.566434114
Telecommunication Services;30/08/2009;2.38875237
Telecommunication Services;29/09/2009;1.173780166
Telecommunication Services;30/10/2009;1.095358232
Telecommunication Services;30/11/2009;1.249567498
Telecommunication Services;31/12/2009;0.366074525
Telecommunication Services;31/01/2010;0.354871905
Telecommunication Services;28/02/2010;0.367692424
Telecommunication Services;30/03/2010;0
Telecommunication Services;29/04/2010;0
Telecommunication Services;30/05/2010;0
Telecommunication Services;29/06/2010;0
Telecommunication Services;30/07/2010;0
Telecommunication Services;30/08/2010;0
Telecommunication Services;29/09/2010;0.854507413
Telecommunication Services;30/10/2010;0.913603179
Telecommunication Services;30/11/2010;0.896476787
Telecommunication Services;31/12/2010;0.878006872
Telecommunication Services;31/01/2011;0
Telecommunication Services;28/02/2011;0
Telecommunication Services;30/03/2011;0.436687209
Telecommunication Services;29/04/2011;0.47565236
Telecommunication Services;30/05/2011;0.469473683
Telecommunication Services;29/06/2011;0.451388962
Telecommunication Services;30/07/2011;0.438287266
Telecommunication Services;30/08/2011;2.08208614
Telecommunication Services;29/09/2011;0.936441108
Telecommunication Services;30/10/2011;0.605839078
Telecommunication Services;30/11/2011;0.610969507
Telecommunication Services;31/12/2011;0
Telecommunication Services;31/01/2012;0
Telecommunication Services;29/02/2012;0
Telecommunication Services;30/03/2012;0
Telecommunication Services;29/04/2012;0
Telecommunication Services;30/05/2012;0
Utilities;31/01/2006;0
Utilities;28/02/2006;0
Utilities;31/03/2006;0
Utilities;29/04/2006;0
Utilities;30/05/2006;0
Utilities;29/06/2006;0
Utilities;30/07/2006;0
Utilities;30/08/2006;0
Utilities;29/09/2006;0
Utilities;31/10/2006;0
Utilities;30/11/2006;0
Utilities;31/12/2006;0
Utilities;31/01/2007;0
Utilities;28/02/2007;0
Utilities;30/03/2007;0
Utilities;29/04/2007;0
Utilities;30/05/2007;0
Utilities;29/06/2007;0
Utilities;30/07/2007;0
Utilities;30/08/2007;0
Utilities;29/09/2007;0
Utilities;30/10/2007;0
Utilities;30/11/2007;0
Utilities;31/12/2007;0
Utilities;31/01/2008;0
Utilities;29/02/2008;0
Utilities;30/03/2008;0
Utilities;29/04/2008;0
Utilities;30/05/2008;0
Utilities;29/06/2008;0
Utilities;30/07/2008;0
Utilities;30/08/2008;0
Utilities;29/09/2008;0
Utilities;30/10/2008;0
Utilities;30/11/2008;0
Utilities;31/12/2008;0
Utilities;31/01/2009;0
Utilities;28/02/2009;0
Utilities;30/03/2009;0
Utilities;29/04/2009;0
Utilities;30/05/2009;0
Utilities;29/06/2009;0
Utilities;30/07/2009;0
Utilities;30/08/2009;0
Utilities;29/09/2009;0
Utilities;30/10/2009;0
Utilities;30/11/2009;0
Utilities;31/12/2009;0
Utilities;31/01/2010;0
Utilities;28/02/2010;0
Utilities;30/03/2010;0
Utilities;29/04/2010;0
Utilities;30/05/2010;0
Utilities;29/06/2010;0
Utilities;30/07/2010;0
Utilities;30/08/2010;0
Utilities;29/09/2010;0
Utilities;30/10/2010;0
Utilities;30/11/2010;0
Utilities;31/12/2010;0
Utilities;31/01/2011;0
Utilities;28/02/2011;0
Utilities;30/03/2011;0
Utilities;29/04/2011;0
Utilities;30/05/2011;0
Utilities;29/06/2011;0
Utilities;30/07/2011;0
Utilities;30/08/2011;0
Utilities;29/09/2011;0
Utilities;30/10/2011;0
Utilities;30/11/2011;0
Utilities;31/12/2011;0
Utilities;31/01/2012;0
Utilities;29/02/2012;0
Utilities;30/03/2012;0
Utilities;29/04/2012;0
